YEAR,MONTH,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_1,SUBSTRTE,NOTES,ENTERED BY,CHECKED BY
2016,8,8/24/16,Fort Weatherill,3,34,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,34,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,35,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,35,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,36,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,36,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,37,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,37,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,38,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,38,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,39,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,39,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,40,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,40,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,1,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,1,O,CHCR,B,,,
2016,8,8/24/16,Fort Weatherill,4,2,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,2,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,3,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,3,O,FIBR,B,,,
2016,8,8/24/16,Fort Weatherill,4,4,I,FIBR,B,,,
2016,8,8/24/16,Fort Weatherill,4,4,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,5,I,PAPA,B,,,
2016,8,8/24/16,Fort Weatherill,4,5,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,6,I,PAPA,B,,,
2016,8,8/24/16,Fort Weatherill,4,6,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,7,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,7,O,PAPA,B,,,
2016,8,8/24/16,Fort Weatherill,4,8,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,8,O,SL,B,,,
2016,8,8/24/16,Fort Weatherill,4,9,I,PORO,B,,,
2016,8,8/24/16,Fort Weatherill,4,9,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,10,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,10,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,11,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,11,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,12,I,GRAM,S,,,
2016,8,8/24/16,Fort Weatherill,4,12,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,13,I,CHCR,B,,,
2016,8,8/24/16,Fort Weatherill,4,13,O,BUSP,S,,,
2016,8,8/24/16,Fort Weatherill,4,14,I,GRAM,S,,,
2016,8,8/24/16,Fort Weatherill,4,14,O,CHCR,B,,,
2016,8,8/24/16,Fort Weatherill,4,15,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,15,O,COTR,S,,,
2016,8,8/24/16,Fort Weatherill,4,16,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,16,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,17,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,17,O,PORO,B,,,
2016,8,8/24/16,Fort Weatherill,4,18,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,18,O,FALI,BS,,,
2016,8,8/24/16,Fort Weatherill,4,19,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,19,O,COTR,S,,,
2016,8,8/24/16,Fort Weatherill,4,20,I,BUSP,BM,,,
2016,8,8/24/16,Fort Weatherill,4,20,O,BUSP,BS,,,
2016,8,8/24/16,Fort Weatherill,4,21,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,21,O,ES,BS,,,
2016,8,8/24/16,Fort Weatherill,4,22,I,COTR,BM,,,
2016,8,8/24/16,Fort Weatherill,4,22,O,BUSP,BM,,,
2016,8,8/24/16,Fort Weatherill,4,23,I,CYPU,B,,,
2016,8,8/24/16,Fort Weatherill,4,23,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,24,I,GRAM,S,,,
2016,8,8/24/16,Fort Weatherill,4,24,O,BUSP,BS,,,
2016,8,8/24/16,Fort Weatherill,4,25,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,25,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,26,I,BUSP,BL,,,
2016,8,8/24/16,Fort Weatherill,4,26,O,BUSP,S,,,
2016,8,8/24/16,Fort Weatherill,4,27,I,COTR,C,,,
2016,8,8/24/16,Fort Weatherill,4,27,O,GRAM,S,,,
2016,8,8/24/16,Fort Weatherill,4,28,I,HJ,BS,,,
2016,8,8/24/16,Fort Weatherill,4,28,O,COTR,S,,,
2016,8,8/24/16,Fort Weatherill,4,29,I,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,4,29,O,COTR,S,,,
2016,8,8/24/16,Fort Weatherill,4,30,I,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,4,30,O,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,4,31,I,FALI,C,,,
2016,8,8/24/16,Fort Weatherill,4,31,O,BUSP,B,,,
2016,8,8/24/16,Fort Weatherill,4,32,I,BUSP,BM,,,
2016,8,8/24/16,Fort Weatherill,4,32,O,FALI,BS,,,
2016,8,8/24/16,Fort Weatherill,4,33,I,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,4,33,O,COTR,BM,,,
2016,8,8/24/16,Fort Weatherill,4,34,I,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,4,34,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,35,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,35,O,PTSE,B,,,
2016,8,8/24/16,Fort Weatherill,4,36,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,36,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,37,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,37,O,GRAM,B,,,
2016,8,8/24/16,Fort Weatherill,4,38,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,38,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,39,I,ES,B,,,
2016,8,8/24/16,Fort Weatherill,4,39,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,4,40,I,PAPA,B,,,
2016,8,8/24/16,Fort Weatherill,4,40,O,ES,B,,,
